[2022-07-28 00:03:40,525 | DEBUG | L2convertProcess.py:173 | L2convertProcess] > Regrid Process Elapsed Time : 3008.135259 s
[2022-07-28 00:03:40,528 | INFO | L2convertProcess.py:185 | L2convertProcess] > Write GEMS L3 File : ./OUTPUT/L3/hourly/NO2/202103/21/GK2_GEMS_L3_20210321_0445_NO2_WGS84.nc
[2022-07-28 00:03:40,892 | DEBUG | Application.py:51 | Application] > running time : 3008.989219 s
[2022-07-28 00:03:40,892 | INFO | Application.py:52 | Application] > Done GEMS L3 Tessellation Process
[2022-07-28 00:06:53,262 | INFO | Application.py:36 | Application] > Start GEMS L3 Tessellation Process
[2022-07-28 00:06:53,262 | DEBUG | Application.py:41 | Application] > Input Args. : 2021-03-21 04:00:00
[2022-07-28 00:06:53,264 | DEBUG | L2convertProcess.py:113 | L2convertProcess] > Run : 2021-03-21 04:00:00
[2022-07-28 00:06:53,264 | INFO | L2convertProcess.py:64 | L2convertProcess] > Init Process
[2022-07-28 00:06:53,270 | INFO | L2convertProcess.py:137 | L2convertProcess] > Read Input File : /Users/soo._.yonee/Downloads/NO2/202103/21/GK2_GEMS_L2_20210321_0445_NO2_FW_DPRO_ORI.nc
[2022-07-28 00:06:53,350 | INFO | L2convertProcess.py:163 | L2convertProcess] > Regrid Algorithm : idw
[2022-07-28 00:44:39,663 | DEBUG | L2convertProcess.py:173 | L2convertProcess] > Regrid Process Elapsed Time : 2266.312337 s
[2022-07-28 00:44:39,663 | INFO | L2convertProcess.py:185 | L2convertProcess] > Write GEMS L3 File : ./OUTPUT/L3/hourly/NO2/202103/21/GK2_GEMS_L3_20210321_0445_NO2_WGS84.nc
[2022-07-28 00:44:39,916 | DEBUG | Application.py:51 | Application] > running time : 2266.653731 s
[2022-07-28 00:44:39,917 | INFO | Application.py:52 | Application] > Done GEMS L3 Tessellation Process
[2022-07-28 08:15:55,229 | INFO | Application.py:36 | Application] > Start GEMS L3 Tessellation Process
[2022-07-28 08:15:55,229 | DEBUG | Application.py:41 | Application] > Input Args. : 2021-03-21 04:00:00
[2022-07-28 08:15:55,230 | DEBUG | L2convertProcess.py:113 | L2convertProcess] > Run : 2021-03-21 04:00:00
[2022-07-28 08:15:55,230 | INFO | L2convertProcess.py:64 | L2convertProcess] > Init Process
[2022-07-28 08:15:55,243 | INFO | L2convertProcess.py:137 | L2convertProcess] > Read Input File : /Users/soo._.yonee/Downloads/NO2/202103/21/GK2_GEMS_L2_20210321_0445_NO2_FW_DPRO_ORI.nc
[2022-07-28 08:15:55,385 | INFO | L2convertProcess.py:163 | L2convertProcess] > Regrid Algorithm : idw
[2022-07-28 09:38:38,494 | DEBUG | L2convertProcess.py:173 | L2convertProcess] > Regrid Process Elapsed Time : 4963.105484 s
[2022-07-28 09:38:38,494 | INFO | L2convertProcess.py:185 | L2convertProcess] > Write GEMS L3 File : ./OUTPUT/L3/hourly/NO2/202103/21/GK2_GEMS_L3_20210321_0445_NO2_WGS84.nc
[2022-07-28 09:38:39,178 | DEBUG | Application.py:51 | Application] > running time : 4963.948893 s
[2022-07-28 09:38:39,178 | INFO | Application.py:52 | Application] > Done GEMS L3 Tessellation Process
[2022-07-28 09:40:43,696 | INFO | Application.py:36 | Application] > Start GEMS L3 Tessellation Process
[2022-07-28 09:40:43,696 | DEBUG | Application.py:41 | Application] > Input Args. : 2021-03-21 04:00:00
[2022-07-28 09:40:43,698 | DEBUG | L2convertProcess.py:113 | L2convertProcess] > Run : 2021-03-21 04:00:00
[2022-07-28 09:40:43,699 | INFO | L2convertProcess.py:64 | L2convertProcess] > Init Process
[2022-07-28 09:40:43,732 | INFO | L2convertProcess.py:137 | L2convertProcess] > Read Input File : /Users/soo._.yonee/Downloads/NO2/202103/21/GK2_GEMS_L2_20210321_0445_NO2_FW_DPRO_ORI.nc
[2022-07-28 09:40:43,884 | INFO | L2convertProcess.py:163 | L2convertProcess] > Regrid Algorithm : tessellation
[2022-07-28 12:54:58,108 | DEBUG | L2convertProcess.py:173 | L2convertProcess] > Regrid Process Elapsed Time : 11654.222343 s
[2022-07-28 12:54:58,108 | INFO | L2convertProcess.py:185 | L2convertProcess] > Write GEMS L3 File : ./OUTPUT/L3/hourly/NO2/202103/21/GK2_GEMS_L3_20210321_0445_NO2_WGS84.nc
[2022-07-28 12:54:58,846 | DEBUG | Application.py:51 | Application] > running time : 11655.150181 s
[2022-07-28 12:54:58,847 | INFO | Application.py:52 | Application] > Done GEMS L3 Tessellation Process
